Province_State,Country_Region,Date,Year,Month,Day,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
District of Columbia,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,38.8974,-77.0268,151005,1347,NA,NA,11,21396.41713980466,NA,NA,0.8920234429323532,84000011,USA,NA,NA,NA,NA
Florida,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,27.7663,-81.6868,6240440,74667,NA,NA,12,29055.388842874832,58722815,NA,1.196502169718802,84000012,USA,273412.4875446608,NA,NA,NA
Georgia,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,33.0406,-83.6431,2571104,38242,NA,NA,13,24215.894949273472,18382210,NA,1.4873766288722663,84000013,USA,173132.50117283638,NA,NA,NA
Grand Princess,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,NA,NA,103,3,NA,NA,99999,NA,NA,NA,2.912621359223301,84099999,USA,NA,NA,NA,NA
Guam,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,13.4443,144.7937,49324,364,NA,NA,66,30033.67249389572,411753,NA,0.737977455194226,316,GUM,250718.8133642657,NA,NA,NA
Hawaii,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,21.0943,-157.4983,282619,1457,NA,NA,15,19960.77329024093,3980526,NA,0.5155350489528305,84000015,USA,281136.00664466847,NA,NA,NA
Idaho,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,44.2405,-114.4788,452918,4942,NA,NA,16,25344.23761866524,1233639,NA,1.0911467417943204,84000016,USA,69031.56852157028,NA,NA,NA
Illinois,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,40.3495,-88.9861,3318982,38188,NA,NA,17,26191.831466053696,NA,NA,1.1505937664018666,84000017,USA,NA,NA,NA,NA
Indiana,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,39.8494,-86.2583,1738843,23740,NA,NA,18,25828.675508030858,19986907,NA,1.3652756459323814,84000018,USA,2.9688438537130178e-5,NA,NA,NA
Iowa,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,42.0115,-93.2105,780019,9602,NA,NA,19,24722.716136250543,NA,NA,1.230995655234039,84000019,USA,NA,NA,NA,NA
Kansas,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,38.5266,-96.7265,789859,8943,NA,NA,20,27112.044908307173,NA,NA,1.13222739754817,84000020,USA,NA,NA,NA,NA
Kentucky,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,37.6681,-84.6701,1361744,15987,NA,NA,21,30479.93888541082,NA,NA,1.1740092117167398,84000021,USA,NA,NA,NA,NA
Louisiana,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,31.1695,-91.8678,1265225,17341,NA,NA,22,25731.18963757052,13757351,NA,1.449686086658474,84000022,USA,295933.7626059576,NA,NA,NA
Maine,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,44.6939,-69.3819,264366,2382,NA,NA,23,19666.98705263753,4305773,NA,0.9010235809445996,84000023,USA,320319.4882950011,NA,NA,NA
Maryland,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,39.0639,-76.8021,1095903,14629,NA,NA,24,18127.04278096095,21257177,NA,1.3348809155554826,84000024,USA,3.51609364041762e-5,NA,NA,NA
Massachusetts,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,42.2302,-71.5301,1879517,20663,NA,NA,25,27269.00517852513,45225451,NA,1.099378191311917,84000025,USA,6.5615424469166e-5,NA,NA,NA
Michigan,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,43.3266,-84.5361,2547366,36407,NA,NA,26,25507.184092052183,24728166,NA,1.4292017715554026,84000026,USA,2.4760708999838487e-5,NA,NA,NA
Minnesota,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,45.6945,-93.9002,1515724,12974,NA,NA,27,26876.2926375338,NA,NA,0.855960583852997,84000027,USA,NA,NA,NA,NA
Mississippi,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,32.7416,-89.6787,810484,12470,NA,NA,28,27232.64191409772,NA,NA,1.5385868197274717,84000028,USA,NA,NA,NA,NA
Missouri,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,38.4561,-92.2884,1469893,20807,NA,NA,29,23949.657739365743,NA,NA,1.415545213154971,84000029,USA,NA,NA,NA,NA
Montana,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,46.9219,-110.4544,277497,3400,NA,NA,30,25963.951353789093,2887563,NA,1.2252384710465338,84000030,USA,270174.2550838434,NA,NA,NA
Nebraska,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,41.1254,-98.2681,488110,4294,NA,NA,31,25233.04287409895,NA,NA,0.8797197353055664,84000031,USA,NA,NA,NA,NA
Nevada,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,38.3135,-117.0554,742260,10896,NA,NA,32,23882.913722551715,NA,NA,1.481177383769852,84000032,USA,NA,NA,NA,NA
New Hampshire,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,43.4525,-71.5639,326610,2543,NA,NA,33,24020.545542398348,NA,NA,0.7786044517926579,84000033,USA,NA,NA,NA,NA
New Jersey,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,40.2989,-74.521,2415000,33764,NA,NA,34,27189.240491365304,18190713,NA,1.398095238095238,84000034,USA,204799.86354716573,NA,NA,NA
New Mexico,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,34.8405,-106.2485,538629,7825,NA,NA,35,25687.78856072669,7238769,NA,1.452762476584068,84000035,USA,345224.57482226734,NA,NA,NA
New York,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,42.1657,-74.9481,5466873,69134,NA,NA,36,28102.171114070068,111475937,NA,1.2645986105768323,84000036,USA,573036.1500395738,NA,NA,NA
North Carolina,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,35.6301,-79.8064,2772730,24660,NA,NA,37,26436.95454765618,27978916,NA,0.8893761743840908,84000037,USA,2.6676861093027093e-5,NA,NA,NA
North Dakota,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,47.5289,-99.784,245463,2283,NA,NA,38,32212.07723256113,NA,NA,0.9300298196157668,84000038,USA,NA,NA,NA,NA
Northern Mariana Islands,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,15.0979,145.6739,11366,34,NA,NA,69,20611.489917307412,NA,NA,0.2991377793418969,580,MNP,NA,NA,NA,NA
Ohio,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,40.3888,-82.7649,2780653,38806,NA,NA,39,23788.4268249908,30325477,NA,1.390213018309009,84000039,USA,2.594338058533164e-5,NA,NA,NA
Oklahoma,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,35.5653,-96.9289,1053558,16127,NA,NA,40,26625.365715341355,NA,NA,1.530717815250798,84000040,USA,NA,NA,NA,NA
Oregon,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,44.572,-122.0709,770193,7657,NA,NA,41,18260.81142565314,11632270,NA,0.9941663972536754,84000041,USA,275794.104753331,NA,NA,NA
Pennsylvania,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,40.5908,-77.2098,2932186,45254,NA,NA,42,22904.1440357432,26038438,NA,1.5433536617390575,84000042,USA,203393.691402172,NA,NA,NA
Puerto Rico,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,18.2208,-66.5901,692700,4399,NA,NA,72,21689.61710170104,4302928,NA,0.635051248736827,630,PRI,134732.0062598358,NA,NA,NA
Rhode Island,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,41.6809,-71.5118,394573,3583,NA,NA,44,37246.32113132351,8024405,NA,0.9080702430222036,84000044,USA,757475.9690039562,NA,NA,NA
South Carolina,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,33.8569,-80.945,1504967,17907,NA,NA,45,29229.959170387017,12808249,NA,1.1898599769961733,84000045,USA,248765.9831173377,NA,NA,NA
South Dakota,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,44.2998,-99.4388,240357,2928,NA,NA,46,27169.45173224937,1332600,NA,1.218187945431171,84000046,USA,1.5063431220391134e-5,NA,NA,NA
Tennessee,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,35.7478,-86.6923,2072605,26486,NA,NA,47,30197.48801245949,13118463,NA,1.2845261873138856,84000047,USA,192094.4319181207,NA,NA,NA
Texas,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,31.0545,-97.5635,6979783,88394,NA,NA,48,24071.636243782348,49392651,NA,1.2664147295123644,84000048,USA,170343.68088350203,NA,NA,NA
Utah,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,40.15,-111.8624,954707,4781,NA,NA,49,29779.148697518805,6152328,NA,0.5007819152891935,84000049,USA,191902.9506936772,NA,NA,NA
Vermont,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,44.0459,-72.7107,132676,670,NA,NA,50,21262.55430784837,3673493,NA,0.504989598721698,84000050,USA,588711.1792034796,NA,NA,NA
Virgin Islands,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,18.3358,-64.8963,20083,113,NA,NA,78,18722.26572696424,425923,NA,0.5626649404969377,850,VIR,397064.3621583324,NA,NA,NA
Virginia,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,37.7693,-78.17,1797700,20424,NA,NA,51,21061.40235877865,13901619,NA,1.1361183734772209,84000051,USA,162867.88184760645,NA,NA,NA
Washington,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,47.4009,-121.4905,1591654,12968,NA,NA,53,20901.85640165922,NA,NA,0.8147499393712453,84000053,USA,NA,NA,NA,NA
West Virginia,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,38.4912,-80.9545,518061,6974,NA,NA,54,28907.282717321737,6342166,NA,1.3461735201067055,84000054,USA,353886.4836422459,NA,NA,NA
Wisconsin,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,44.2685,-89.6165,1683264,14639,NA,NA,55,28909.971328142143,16648527,NA,0.8696793848142657,84000055,USA,2.8593758211771917e-5,NA,NA,NA
Wyoming,US,2022-06-05,2022,6,5,2022-06-06T04:32:54Z,42.756,-107.3025,158472,1820,NA,NA,56,27381.345257697936,1426462,NA,1.148467868140744,84000056,USA,246469.0829861825,NA,NA,NA
